rowid,variable,value,x,y
cyb5r1,s4d.mecpM1,-0.6784483075537331,16,2088
gabbr1a,s4d.mecpM1,0.4932496730497701,16,2201
eya2,s4d.mecpM1,0.15155758959666482,16,673
snx12,s4d.mecpM1,0.11397113840597713,16,48
lars1b,s4d.mecpM1,0.09758273585794568,16,1064
sec23b,s4d.mecpM1,0.5503926421580468,16,405
krt99,s4d.mecpM1,0.44907794314456706,16,337
elf2a,s4d.mecpM1,-0.17955309585755894,16,2216
mpx,s4d.mecpM1,-0.3018263355901208,16,1774
fads2,s4d.mecpM1,1.4556496998180457,16,748
evpla,s4d.mecpM1,-0.5588668021214229,16,1891
ugdh,s4d.mecpM1,0.29609598135021165,16,1272
rbks,s4d.mecpM1,-0.4227014952532697,16,2243
idi1,s4d.mecpM1,0.7773277149040243,16,1266
mrps33,s4d.mecpM1,0.4022875500977346,16,134
fam151b,s4d.mecpM1,-0.04762188944446829,16,165
cldn11a,s4d.mecpM1,-0.022307317515289703,16,686
aox6,s4d.mecpM1,-0.7574136169017821,16,2003
sipa1l1,s4d.mecpM1,0.13773269555461265,16,381
si.ch211.225b10.3,s4d.mecpM1,0.13948110172316236,16,NA
cnih1,s4d.mecpM1,0.21070771053102713,16,246
snrnp25,s4d.mecpM1,-0.05415696097076707,16,1209
yipf3,s4d.mecpM1,-0.46658560497506124,16,1426
atp2a1,s4d.mecpM1,-0.6663919349424285,16,1334
gnl3l,s4d.mecpM1,0.19488116876405098,16,1088
clpp,s4d.mecpM1,0.41589041354918255,16,640
odf2b,s4d.mecpM1,-0.4949217242793366,16,1530
mdkb,s4d.mecpM1,0.48325130654094517,16,1549
si.dkey.230p4.1,s4d.mecpM1,-0.21723254049192342,16,NA
apoa4b.2,s4d.mecpM1,-0.14756889007186885,16,2269
armc1l,s4d.mecpM1,-0.9790966900371224,16,1879
tmod4,s4d.mecpM1,-0.3414898654203047,16,1796
si.ch211.214j8.1,s4d.mecpM1,1.5375861010912186,16,NA
slc16a10,s4d.mecpM1,-0.4242243210546975,16,267
alas1,s4d.mecpM1,-1.3227233733374315,16,2153
poc1b,s4d.mecpM1,-0.22457051133095637,16,2233
zgc.92040,s4d.mecpM1,-0.4632247814494894,16,NA
cyp2ad2,s4d.mecpM1,0.26645891175692277,16,1326
cept1b,s4d.mecpM1,-0.5439594791485988,16,804
mvp,s4d.mecpM1,-0.23437486010508862,16,851
mul1a,s4d.mecpM1,0.3217053432017891,16,813
ncoa4,s4d.mecpM1,-0.5195150331938726,16,2001
cdc14b,s4d.mecpM1,0.40742330118590886,16,1913
sh3bgr,s4d.mecpM1,-0.12478292823621702,16,1795
col7a1,s4d.mecpM1,-0.5292097470448446,16,2078
klhl24a,s4d.mecpM1,0.3418598284967694,16,1955
hmmr,s4d.mecpM1,-0.19607780443217956,16,2005
si.dkey.256h2.1,s4d.mecpM1,0.03622367590585731,16,NA
derl1,s4d.mecpM1,0.49870795201233276,16,808
hsp70.3,s4d.mecpM1,-0.42348016431360114,16,1364
rbm4.3,s4d.mecpM1,-0.2620386679623065,16,257
usp6nl,s4d.mecpM1,-0.3165977591237499,16,356
higd1a,s4d.mecpM1,-0.11090478468404757,16,1010
ntmt1,s4d.mecpM1,-0.23254890864808847,16,592
rrp12,s4d.mecpM1,0.40773452006497274,16,1079
mchr1b,s4d.mecpM1,1.584039569180429,16,1230
chrnb1l,s4d.mecpM1,-0.9165716798298601,16,2375
apobb.1,s4d.mecpM1,-0.7172220093028848,16,2306
tm9sf1,s4d.mecpM1,0.7196654483214364,16,868
ccn1,s4d.mecpM1,-0.22035564149892886,16,872
plg,s4d.mecpM1,0.17603445715645155,16,2322
cbln10,s4d.mecpM1,-0.06293564793328359,16,100
lcp1,s4d.mecpM1,-0.014256479260105289,16,2179
snu13b,s4d.mecpM1,-0.40651474424445616,16,1062
sim1a,s4d.mecpM1,-0.25104991429990436,16,1453
gmppab,s4d.mecpM1,0.3817669656904861,16,651
aqp1a.1,s4d.mecpM1,0.5573811450874685,16,831
atf2,s4d.mecpM1,-1.107806623445023,16,2139
sdf2,s4d.mecpM1,-0.21939665820567214,16,668
hao1,s4d.mecpM1,0.29364683979258444,16,2328
pnocb,s4d.mecpM1,0.38684893547872795,16,484
msto1,s4d.mecpM1,-0.1744176546610808,16,989
top2a,s4d.mecpM1,-0.37219583479407253,16,1858
zgc.162964,s4d.mecpM1,0.5213114863513162,16,NA
snrpa1,s4d.mecpM1,-0.4573970029181748,16,595
gng13a,s4d.mecpM1,0.9527277097065755,16,738
synj1,s4d.mecpM1,-0.09944167362865904,16,357
stx5a,s4d.mecpM1,0.2809704521105575,16,298
AL935186.1,s4d.mecpM1,-0.20114662793208776,16,1233
edem1,s4d.mecpM1,0.3113032972519291,16,646
cuzd1.2,s4d.mecpM1,-0.4364017593478991,16,1574
rbm28,s4d.mecpM1,0.7674302854975443,16,278
tusc2b,s4d.mecpM1,0.7638958879307295,16,297
spon2a,s4d.mecpM1,-0.14718633347964152,16,892
clint1a,s4d.mecpM1,-0.09068616413182272,16,648
ormdl3,s4d.mecpM1,0.17442137802699154,16,1731
nf2b,s4d.mecpM1,0.20647733023142278,16,795
abhd2a,s4d.mecpM1,0.13717324901575872,16,1743
dmtf1,s4d.mecpM1,0.20771199269776566,16,2050
gna12a,s4d.mecpM1,-0.6939443520040957,16,899
camk2n1a,s4d.mecpM1,1.140562864601986,16,953
lmf2b,s4d.mecpM1,-0.03591999130668163,16,2378
shox,s4d.mecpM1,0.7669500382936616,16,2038
bscl2l,s4d.mecpM1,0.898781590568494,16,704
slc48a1b,s4d.mecpM1,0.46063364118359756,16,322
