NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	11		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	161		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	13		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	40		Rejected!	
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	7		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	83		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	53		Rejected!	
GOBP_BEHAVIORAL_DEFENSE_RESPONSE	39		Rejected!	
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	64		Rejected!	
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	191		Rejected!	
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	126		Rejected!	
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	28		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	78		Rejected!	
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31		Rejected!	
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	360		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	133		Rejected!	
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	729		Rejected!	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	43		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	694		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	391		Rejected!	
GOBP_LYMPHOCYTE_HOMEOSTASIS	69		Rejected!	
GOBP_MYELOID_CELL_HOMEOSTASIS	170		Rejected!	
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	299		Rejected!	
GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	50		Rejected!	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	239		Rejected!	
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	98		Rejected!	
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	19		Rejected!	
GOBP_MICROGLIAL_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	21		Rejected!	
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	208		Rejected!	
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	118		Rejected!	
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	79		Rejected!	
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	18		Rejected!	
